Name, Torrent, Magnet, Size, Date, Up, Donw, Overall
[SOFCJ-Raws] Francesca - Girls Be Ambitious (1280x720 x264 AAC), https://nyaa.si/download/671381.torrent, magnet:?xt=urn:btih:91e87f6edf0ab674114f502ff34bfd0582de105d&amp;dn=%5BSOFCJ-Raws%5D%20Francesca%20-%20Girls%20Be%20Ambitious%20%281280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 5.1 GiB, 2015-03-28 16:17, 0, 0, 36
[SOFCJ-Raws] One Piece - 316-317 (BS-FUJI 1280x720 x264 AAC), https://nyaa.si/download/560716.torrent, magnet:?xt=urn:btih:5a84e9d6d6be1e6318a82be6bc118ca068650aba&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20-%20316-317%20%28BS-FUJI%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 769.0 MiB, 2014-06-02 05:10, 0, 0, 22
[SOFCJ-Raws] One Piece - 631-650 (CX 1280x720 x264 AAC), https://nyaa.si/download/567359.torrent, magnet:?xt=urn:btih:9bcf042fd2181311caf01e803d155d5af91920e9&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20-%20631-650%20%28CX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 9.3 GiB, 2014-06-23 07:31, 0, 1, 19
[SOFCJ-Raws] One Piece - 302-315 (BS-FUJI 1280x720 x264 AAC), https://nyaa.si/download/608130.torrent, magnet:?xt=urn:btih:d2866324a886355ff4b0e6f9907774c90e86548b&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20-%20302-315%20%28BS-FUJI%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 6.3 GiB, 2014-10-11 05:22, 0, 0, 16
[SOFCJ-Raws] One Piece - 381-385 (BS-FUJI 1280x720 x264 AAC), https://nyaa.si/download/550743.torrent, magnet:?xt=urn:btih:6f6848397551e8f67c83d0bc775f3610d761022e&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20-%20381-385%20%28BS-FUJI%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 1.5 GiB, 2014-05-04 10:50, 0, 0, 9
[SOFCJ-Raws] One Piece - 396-400 (BS-FUJI 1280x720 x264 AAC), https://nyaa.si/download/585453.torrent, magnet:?xt=urn:btih:0b6323a0129b96ee85f1948d9e6992e255418dfa&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20-%20396-400%20%28BS-FUJI%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 2.1 GiB, 2014-08-08 15:30, 0, 0, 8
[SOFCJ-Raws] One Piece - 391-395 (BS-FUJI 1280x720 x264 AAC), https://nyaa.si/download/569456.torrent, magnet:?xt=urn:btih:399a99565ed350f5ac7e6ce3716ac825450fe201&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20-%20391-395%20%28BS-FUJI%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 2.2 GiB, 2014-06-29 06:29, 0, 0, 8
[SOFCJ-Raws] D.Gray-man HALLOW (TVA-TX 1280x720 x264 AAC), https://nyaa.si/download/853998.torrent, magnet:?xt=urn:btih:192e414018cc87c920e361f0350e0d18ddb5a397&amp;dn=%5BSOFCJ-Raws%5D%20D.Gray-man%20HALLOW%20%28TVA-TX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 5.9 GiB, 2016-09-26 15:35, 0, 0, 8
[SOFCJ-Raws] One Piece - 386-390 (BS-FUJI 1280x720 x264 AAC), https://nyaa.si/download/560498.torrent, magnet:?xt=urn:btih:842c8e7701c92248917684dc05fe5d41e0b9c9b7&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20-%20386-390%20%28BS-FUJI%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 1.9 GiB, 2014-06-01 11:08, 0, 0, 7
[SOFCJ-Raws] One Piece - 431-440 (BS-FUJI 1280x720 x264 AAC), https://nyaa.si/download/699000.torrent, magnet:?xt=urn:btih:43d58136d408b6bb16ebdb2246ffd35901a4ba36&amp;dn=%5BSOFCJ-Raws%5D%20One%20Piece%20-%20431-440%20%28BS-FUJI%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 4.3 GiB, 2015-06-07 04:44, 0, 0, 6
