Name | Torrent | Magnet | Size | Date | Up | Donw | Overall
[Ohys-Raws] Boku no Hero Academia 2 (NTV 1280x720 x264 AAC)|https://nyaa.si/download/963986.torrent| magnet:?xt=urn:btih:0745b9e903d3d8512f34bf32e48feebee696946c&amp;dn=%5BOhys-Raws%5D%20Boku%20no%20Hero%20Academia%202%20%28NTV%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 11.7 GiB | 2017-09-30 09:45 | 15 | 6 | 21839
[Ohys-Raws] Isekai wa Smartphone to Tomo ni. (AT-X 1280x720 x264 AAC)|https://nyaa.si/download/962753.torrent| magnet:?xt=urn:btih:91a5b99facb1cdfa10ba610a6c25e833273bd646&amp;dn=%5BOhys-Raws%5D%20Isekai%20wa%20Smartphone%20to%20Tomo%20ni.%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.5 GiB | 2017-09-26 12:05 | 3 | 1 | 21714
[Ohys-Raws] Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (AT-X 1280x720 x264 AAC)|https://nyaa.si/download/963136.torrent| magnet:?xt=urn:btih:bea32de5e967517fc1e65bbc155b43b2617288ba&amp;dn=%5BOhys-Raws%5D%20Youkoso%20Jitsuryoku%20Shijou%20Shugi%20no%20Kyoushitsu%20e%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.4 GiB | 2017-09-27 15:12 | 7 | 3 | 21486
[Ohys-Raws] One Punch Man (2019) (TX 1280x720 x264 AAC)|https://nyaa.si/download/1155752.torrent| magnet:?xt=urn:btih:51d9ac3aed718d499f0c2b38373bfa01436261f4&amp;dn=%5BOhys-Raws%5D%20One%20Punch%20Man%20%282019%29%20%28TX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 6.0 GiB | 2019-07-02 17:16 | 29 | 5 | 21237
[Ohys-Raws] Shuumatsu Nani Shitemasuka Isogashii Desuka Sukutte Moratte Ii Desuka (AT-X 1280x720 x264 AAC)|https://nyaa.si/download/933983.torrent| magnet:?xt=urn:btih:397bcc5d7b17fca360693dcbcae336ad3b15b03e&amp;dn=%5BOhys-Raws%5D%20Shuumatsu%20Nani%20Shitemasuka%20Isogashii%20Desuka%20Sukutte%20Moratte%20Ii%20Desuka%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.7 GiB | 2017-06-27 15:15 | 3 | 0 | 20437
[Ohys-Raws] Knight`s &amp; Magic (AT-X 1280x720 x264 AAC)|https://nyaa.si/download/962171.torrent| magnet:?xt=urn:btih:934f7d08139d7a0b18eec2bb07901508777eba89&amp;dn=%5BOhys-Raws%5D%20Knight%60s%20%26%20Magic%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 5.2 GiB | 2017-09-24 12:37 | 6 | 1 | 19849
[Ohys-Raws] Death March kara Hajimaru Isekai Kyousoukyoku (AT-X 1280x720 x264 AAC)|https://nyaa.si/download/1020974.torrent| magnet:?xt=urn:btih:32a86d3eaa5c002cae90e2f6ee62714e3441de9a&amp;dn=%5BOhys-Raws%5D%20Death%20March%20kara%20Hajimaru%20Isekai%20Kyousoukyoku%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.0 GiB | 2018-03-29 16:04 | 5 | 0 | 19712
[Ohys-Raws] Karakai Jouzu no Takagi-san (MX 1280x720 x264 AAC)|https://nyaa.si/download/1019863.torrent| magnet:?xt=urn:btih:19b550736f2c1e4a63cfd2db29b17eb77ec67a41&amp;dn=%5BOhys-Raws%5D%20Karakai%20Jouzu%20no%20Takagi-san%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.0 GiB | 2018-03-26 16:28 | 5 | 0 | 18797
[Ohys-Raws] Fate Apocrypha (BS11 1280x720 x264 AAC)|https://nyaa.si/download/992211.torrent| magnet:?xt=urn:btih:0dc84aad8fdcc4dcc2086e86ade5f2a9de334e68&amp;dn=%5BOhys-Raws%5D%20Fate%20Apocrypha%20%28BS11%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 9.1 GiB | 2017-12-30 16:50 | 5 | 6 | 18269
[Ohys-Raws] Gamers! (AT-X 1280x720 x264 AAC)|https://nyaa.si/download/963392.torrent| magnet:?xt=urn:btih:cd85aafe233c41f55d2eff5e6abe168b16e79d05&amp;dn=%5BOhys-Raws%5D%20Gamers%21%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.3 GiB | 2017-09-28 12:33 | 2 | 0 | 18255
[Ohys-Raws] Isekai Shokudou (TX 1280x720 x264 AAC)|https://nyaa.si/download/960347.torrent| magnet:?xt=urn:btih:95cc1681b78017d1f126d735fa6c9c9e3eb800e8&amp;dn=%5BOhys-Raws%5D%20Isekai%20Shokudou%20%28TX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.8 GiB | 2017-09-19 09:19 | 6 | 0 | 18142
[Ohys-Raws] Goblin Slayer (AT-X 1280x720 x264 AAC)|https://nyaa.si/download/1106147.torrent| magnet:?xt=urn:btih:bfcee26b0cb17b65468d0650161f1937d1835379&amp;dn=%5BOhys-Raws%5D%20Goblin%20Slayer%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.3 GiB | 2018-12-29 16:13 | 8 | 1 | 17148
[Ohys-Raws] New Game!! (AT-X 1280x720 x264 AAC)|https://nyaa.si/download/962762.torrent| magnet:?xt=urn:btih:50886f72472199c30caad64e54bff538c06789d7&amp;dn=%5BOhys-Raws%5D%20New%20Game%21%21%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.5 GiB | 2017-09-26 13:05 | 4 | 2 | 16948
[Ohys-Raws] Mahou Tsukai no Yome (MX 1280x720 x264 AAC)|https://nyaa.si/download/1019028.torrent| magnet:?xt=urn:btih:493c8e964c190204fb7b68dd151d3a1879f372bf&amp;dn=%5BOhys-Raws%5D%20Mahou%20Tsukai%20no%20Yome%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 7.7 GiB | 2018-03-24 17:55 | 9 | 1 | 16697
