NAME,TorrentURL,Magnet
[Leopard-Raws] Black Clover (2017) - 97 RAW (TX 1280x720 x264 AAC).mp4,/download/1171495.torrent,magnet:?xt=urn:btih:4debdb20e5c0f67162a4e15a792ffc29185ce175&dn=%5BLeopard-Raws%5D%20Black%20Clover%20%282017%29%20-%2097%20RAW%20%28TX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Bem - 04 RAW (TX 1280x720 x264 AAC).mp4,/download/1171494.torrent,magnet:?xt=urn:btih:2a4118db22e43f7134eac4303003aef9fa7d2921&dn=%5BLeopard-Raws%5D%20Bem%20-%2004%20RAW%20%28TX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Bakugan： Battle Planet - 20 RAW (TX 1280x720 x264 AAC).mp4,/download/1171493.torrent,magnet:?xt=urn:btih:bd7181e2d421df7c09f0cc2f9b0e7ecce0b74214&dn=%5BLeopard-Raws%5D%20Bakugan%EF%BC%9A%20Battle%20Planet%20-%2020%20RAW%20%28TX%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Leopard-Raws] Arifureta Shokugyou de Sekai Saikyou - 06 RAW (BS11 1280x720 x264 AAC).mp4,/download/1171492.torrent,magnet:?xt=urn:btih:ff7815513b10921a02947664305aed0ea5570450&dn=%5BLeopard-Raws%5D%20Arifureta%20Shokugyou%20de%20Sekai%20Saikyou%20-%2006%20RAW%20%28BS11%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[LowPower-Raws] Dororo (BD 1080P x264 FLAC),/download/1171465.torrent,magnet:?xt=urn:btih:1715f754aae103b751b48b97054c6af18f00ebad&dn=%5BLowPower-Raws%5D%20Dororo%20%28BD%201080P%20x264%20FLAC%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Snow-Raws] 选择感染者WIXOSS/Selector Infected WIXOSS/selector infected WIXOSS (BD 1920x1080 HEVC-YUV420P10 FLACx2),/download/1171459.torrent,magnet:?xt=urn:btih:4ebd72807ca829cb4d3bbaef1d3871beec67af85&dn=%5BSnow-Raws%5D%20%E9%80%89%E6%8B%A9%E6%84%9F%E6%9F%93%E8%80%85WIXOSS%2FSelector%20Infected%20WIXOSS%2Fselector%20infected%20WIXOSS%20%28BD%201920x1080%20HEVC-YUV420P10%20FLACx2%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[Jstudio-WEB raws]Sounan Desuka 09 (WEB 1280x720 x264 AAC).mp4,/download/1171437.torrent,magnet:?xt=urn:btih:e9590a0c34af96e8852b6d1945beb5e07d022e73&dn=%5BJstudio-WEB%20raws%5DSounan%20Desuka%2009%20%28WEB%201280x720%20x264%20AAC%29.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[AnimeVeteran] Ling Jian Zun - Episode 57 Raw (1080p x265 10-bit),/download/1171395.torrent,magnet:?xt=urn:btih:4b49ce7ac3bd34e9936a3f182e5c332a9e855548&dn=%5BAnimeVeteran%5D%20Ling%20Jian%20Zun%20-%20Episode%2057%20Raw%20%281080p%20x265%2010-bit%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[AnimeVeteran] Wan Jie Xian Zong; Di Er Ji - Episode 38 Raw (1080p x265 10-bit),/download/1171392.torrent,magnet:?xt=urn:btih:1a87a7eec9309dc33b46a0385b74821fa03ec9a1&dn=%5BAnimeVeteran%5D%20Wan%20Jie%20Xian%20Zong%3B%20Di%20Er%20Ji%20-%20Episode%2038%20Raw%20%281080p%20x265%2010-bit%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
[R-Raws] Tottemo! Luckyman [WEB-DL][480p] (とっても!ラッキーマン),/download/1171391.torrent,magnet:?xt=urn:btih:08af390ad6b68abfc1ec0dd4241acea58a4f38dc&dn=%5BR-Raws%5D%20Tottemo%21%20Luckyman%20%5BWEB-DL%5D%5B480p%5D%20%28%E3%81%A8%E3%81%A3%E3%81%A6%E3%82%82%21%E3%83%A9%E3%83%83%E3%82%AD%E3%83%BC%E3%83%9E%E3%83%B3%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce
