Name | Torrent | Magnet | Size | Date | Up | Donw | Overall
[Leopard-Raws] Gate - Jieitai Kanochi nite | Kaku Tatakaeri (MX 1280x720 x264 AAC) | https://nyaa.si/download/734913.torrent | magnet:?xt=urn:btih:a9aecda9a8dd04e7816f5137282d785380a4a0fe&amp;dn=%5BLeopard-Raws%5D%20Gate%20-%20Jieitai%20Kanochi%20nite%2C%20Kaku%20Tatakaeri%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 5.1 GiB | 2015-09-18 12:35 | 1 | 1 | 3278
[Leopard-Raws] Himouto! Umaru-chan (ABC 1280x720 x264 AAC) | https://nyaa.si/download/736928.torrent | magnet:?xt=urn:btih:7d9e6cb6c64af0ba8bb5356d9c344f29a2448466&amp;dn=%5BLeopard-Raws%5D%20Himouto%21%20Umaru-chan%20%28ABC%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.0 GiB | 2015-09-23 22:12 | 0 | 0 | 3171
[Leopard-Raws] Gate - Jieitai Kanochi nite | Kaku Tatakaeri (2016) (TVA 1280x720 x264 AAC) | https://nyaa.si/download/797628.torrent | magnet:?xt=urn:btih:1c05f78d747c360de8421d61c411b4ea6160b64f&amp;dn=%5BLeopard-Raws%5D%20Gate%20-%20Jieitai%20Kanochi%20nite%2C%20Kaku%20Tatakaeri%20%282016%29%20%28TVA%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.8 GiB | 2016-03-27 05:04 | 1 | 0 | 3139
[Leopard-Raws] Mahouka Koukou no Rettousei (MX 1280x720 x264 AAC) | https://nyaa.si/download/602697.torrent | magnet:?xt=urn:btih:e43a498e525acc796ef9de8e2d8d13d54ccf03e3&amp;dn=%5BLeopard-Raws%5D%20Mahouka%20Koukou%20no%20Rettousei%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 9.2 GiB | 2014-09-27 15:38 | 6 | 0 | 3074
[Leopard-Raws] Re - Zero kara Hajimeru Isekai Seikatsu (TX 1280x720 x264 AAC) | https://nyaa.si/download/851674.torrent | magnet:?xt=urn:btih:5277de18a0e889ac43c0ac5bb5edcd3c99e28825&amp;dn=%5BLeopard-Raws%5D%20Re%20-%20Zero%20kara%20Hajimeru%20Isekai%20Seikatsu%20%28TX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 11.2 GiB | 2016-09-19 14:07 | 1 | 0 | 3072
[Leopard-Raws] Overlord (ATX 1280x720 x264 AAC) | https://nyaa.si/download/739365.torrent | magnet:?xt=urn:btih:8cffb7d893d006378ea58f66b1374ea15d996f76&amp;dn=%5BLeopard-Raws%5D%20Overlord%20%28ATX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.8 GiB | 2015-09-30 10:30 | 1 | 1 | 3053
[Leopard-Raws] Wake Up,Girls! Shin Shou (TX 1280x720 x264 AAC) | https://nyaa.si/download/994296.torrent | magnet:?xt=urn:btih:1b8f4f48efb15fb4b65a39da38c5e4b2b79c0d19&amp;dn=%5BLeopard-Raws%5D%20Wake%20Up%2C%20Girls%21%20Shin%20Shou%20%28TX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.5 GiB | 2018-01-08 09:15 | 3 | 1 | 2884
[Leopard-Raws] No Game No Life (ATX 1280x720 x264 AAC) | https://nyaa.si/download/568069.torrent | magnet:?xt=urn:btih:53f46508caa7ece1190170b4bd3db981c00598b6&amp;dn=%5BLeopard-Raws%5D%20No%20Game%20No%20Life%20%28ATX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 5.1 GiB | 2014-06-25 09:51 | 1 | 1 | 2809
[Leopard-Raws] Nanatsu no Taizai - The Seven Deadly Sins (TBS 1280x720 x264 AAC) | https://nyaa.si/download/671691.torrent | magnet:?xt=urn:btih:0095acaa176ff19ea805e1b2281dfc70e277b882&amp;dn=%5BLeopard-Raws%5D%20Nanatsu%20no%20Taizai%20-%20The%20Seven%20Deadly%20Sins%20%28TBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 10.3 GiB | 2015-03-29 10:04 | 8 | 2 | 2791
[Leopard-Raws] Owarimonogatari (GYT 1280x720 x264 AAC) | https://nyaa.si/download/767403.torrent | magnet:?xt=urn:btih:4c9b214792e411307913b693a3d964893e7781d6&amp;dn=%5BLeopard-Raws%5D%20Owarimonogatari%20%28GYT%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.3 GiB | 2015-12-19 13:02 | 0 | 1 | 2786
[Leopard-Raws] One-Punch Man (TX 1280x720 x264 AAC) | https://nyaa.si/download/767801.torrent | magnet:?xt=urn:btih:ceba5ccf63738e442eecaa4afc2a2f4c744e72c3&amp;dn=%5BLeopard-Raws%5D%20One-Punch%20Man%20%28TX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 5.3 GiB | 2015-12-20 13:57 | 1 | 0 | 2643
[Leopard-Raws] Yowamushi Pedal - Grande Road (TX 1280x720 x264 AAC) | https://nyaa.si/download/672309.torrent | magnet:?xt=urn:btih:425779423270ac0693a0d42f3b9603894a2a1438&amp;dn=%5BLeopard-Raws%5D%20Yowamushi%20Pedal%20-%20Grande%20Road%20%28TX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 12.4 GiB | 2015-03-31 00:04 | 2 | 1 | 2573
[Leopard-Raws] Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku (TBS 1280x720 x264 AAC) | https://nyaa.si/download/704974.torrent | magnet:?xt=urn:btih:9b64c7b166442737e15bd0ab59379d774f140dcf&amp;dn=%5BLeopard-Raws%5D%20Yahari%20Ore%20no%20Seishun%20Love%20Come%20wa%20Machigatteiru.%20Zoku%20%28TBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.0 GiB | 2015-06-25 14:55 | 3 | 0 | 2398
[Leopard-Raws] Senki Zesshou Symphogear G (MBS 1280x720 x264 AAC) | https://nyaa.si/download/477283.torrent | magnet:?xt=urn:btih:14ef99b88088af1f172e8b307e114d30ae6ba66e&amp;dn=%5BLeopard-Raws%5D%20Senki%20Zesshou%20Symphogear%20G%20%28MBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 5.8 GiB | 2013-09-27 09:48 | 2 | 1 | 2365
[Leopard-Raws] Toaru Kagaku no Railgun S (MX 1280x720 x264 AAC) | https://nyaa.si/download/477948.torrent | magnet:?xt=urn:btih:c00a992f8356efe01139bdb90bf6b3772c4f5906&amp;dn=%5BLeopard-Raws%5D%20Toaru%20Kagaku%20no%20Railgun%20S%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 11.4 GiB | 2013-09-29 07:11 | 5 | 2 | 2191
[Leopard-Raws] Natsume Yuujinchou Go (TX 1280x720 x264 AAC) | https://nyaa.si/download/883443.torrent | magnet:?xt=urn:btih:58bbe9dc2ce18f90527706aa1f313661c2c17c13&amp;dn=%5BLeopard-Raws%5D%20Natsume%20Yuujinchou%20Go%20%28TX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.3 GiB | 2016-12-23 10:53 | 0 | 1 | 2122
[Leopard-Raws] Fate Zero (2012) (MX 1280x720 x264 AAC) | https://nyaa.si/download/325615.torrent | magnet:?xt=urn:btih:1814c0c59e99fff19e9fdfe7d79b2a44cf13e305&amp;dn=%5BLeopard-Raws%5D%20Fate%20Zero%20%282012%29%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.4 GiB | 2012-06-24 15:49 | 2 | 2 | 2100
[Leopard-Raws] Hibike! Euphonium (KBS 1280x720 x264 AAC) | https://nyaa.si/download/706660.torrent | magnet:?xt=urn:btih:e3135d7d697d83a48b0d880628ff9852d0ab0808&amp;dn=%5BLeopard-Raws%5D%20Hibike%21%20Euphonium%20%28KBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.5 GiB | 2015-06-30 12:39 | 1 | 0 | 2054
